Dataset,Modelo,Accuracy,MCC,Rep
Iris,Gaussiano,0.9416666666666667,0.9125039553891873,1
Iris,Gaussiano,0.95,0.9251058981552087,2
Iris,Gaussiano,0.9583333333333334,0.938405465357665,3
Iris,Gaussiano,0.95,0.924953095684803,4
Iris,Gaussiano,0.95,0.924953095684803,5
Iris,Gaussiano,0.9666666666666667,0.9499687304565353,6
Iris,Gaussiano,0.95,0.9248904652618402,7
Iris,Gaussiano,0.9666666666666667,0.9499687304565353,8
Iris,Gaussiano,0.9583333333333334,0.9375196852387766,9
Iris,Gaussiano,0.9666666666666667,0.9499582985821518,10
Iris,KDE,0.9583333333333334,0.9375326353084336,1
Iris,KDE,0.95,0.9251058981552087,2
Iris,KDE,0.9666666666666667,0.9503960809010947,3
Iris,KDE,0.9583333333333334,0.9375391847859617,4
Iris,KDE,0.9666666666666667,0.9499687304565353,5
Iris,KDE,0.9583333333333334,0.9375391847859617,6
Iris,KDE,0.95,0.9248904652618402,7
Iris,KDE,0.975,0.9625885994813346,8
Iris,KDE,0.95,0.9249374478732277,9
Iris,KDE,0.9666666666666667,0.9499582985821518,10
Wine,Gaussiano,0.9788732394366197,0.9681261236747378,1
Wine,Gaussiano,0.9929577464788732,0.9893806053178497,2
Wine,Gaussiano,0.9859154929577465,0.9784973034803154,3
Wine,Gaussiano,0.9788732394366197,0.9680836931169262,4
Wine,Gaussiano,0.9859154929577465,0.9786339179657871,5
Wine,Gaussiano,0.9859154929577465,0.9788869975030217,6
Wine,Gaussiano,0.9859154929577465,0.9787857881757491,7
Wine,Gaussiano,0.9859154929577465,0.978611064584845,8
Wine,Gaussiano,0.9859154929577465,0.9785427953160406,9
Wine,Gaussiano,0.9859154929577465,0.9785931416358876,10
Wine,KDE,0.9859154929577465,0.9789660148949086,1
Wine,KDE,0.9929577464788732,0.9893806053178497,2
Wine,KDE,0.9859154929577465,0.9784973034803154,3
Wine,KDE,0.9859154929577465,0.9786189292741242,4
Wine,KDE,0.9929577464788732,0.9893603106701875,5
Wine,KDE,0.9929577464788732,0.9894824975299066,6
Wine,KDE,1.0,1.0,7
Wine,KDE,0.9929577464788732,0.9893531900516206,8
Wine,KDE,0.9929577464788732,0.9893234774670118,9
Wine,KDE,0.9929577464788732,0.989346754692399,10
Diabetes,Gaussiano,0.0028328611898017,0.0,1
Diabetes,Gaussiano,0.0028328611898017,0.0,2
Diabetes,Gaussiano,0.0028328611898017,0.0,3
Diabetes,Gaussiano,0.0028328611898017,0.0,4
Diabetes,Gaussiano,0.0028328611898017,0.0,5
Diabetes,Gaussiano,0.0028328611898017,0.0,6
Diabetes,Gaussiano,0.0028328611898017,0.0,7
Diabetes,Gaussiano,0.0028328611898017,0.0,8
Diabetes,Gaussiano,0.0,0.0,9
Diabetes,Gaussiano,0.0028328611898017,0.0,10
Diabetes,KDE,0.17847025495750707,0.17879014881916516,1
Diabetes,KDE,0.21529745042492918,0.21574184691012235,2
Diabetes,KDE,0.20396600566572237,0.20567658680098827,3
Diabetes,KDE,0.18413597733711048,0.18579893513243442,4
Diabetes,KDE,0.18980169971671387,0.19076020067288177,5
Diabetes,KDE,0.17280453257790368,0.17294407845847398,6
Diabetes,KDE,0.19263456090651557,0.19114960599306488,7
Diabetes,KDE,0.19263456090651557,0.19341201690627058,8
Diabetes,KDE,0.18696883852691218,0.18801670576800844,9
Diabetes,KDE,0.1954674220963173,0.19580913912224826,10
