Dataset,Discretizador,Hiperparámetro,Accuracy,MCC
Iris,BandWidth,2.0,0.76,0.6536937160716779
Iris,BandWidth,3.0,0.9508333333333333,0.9269145903788422
Iris,BandWidth,5.0,0.9266666666666665,0.8905735591568297
Iris,BandWidth,10.0,0.9450000000000001,0.918022199219058
Iris,BandWidth,15.0,0.9424999999999999,0.9147420763558365
Iris,ChiMerge,2.0,0.8966666666666667,0.8495821706866822
Iris,ChiMerge,3.0,0.9258333333333333,0.8894891044605651
Iris,ChiMerge,5.0,0.9349999999999999,0.9030850636178446
Iris,ChiMerge,10.0,0.9341666666666667,0.9019468963120667
Iris,ChiMerge,15.0,0.9408333333333333,0.9120083154754974
Iris,CAIM,,0.9550000000000001,0.9332575796093951
Wine,BandWidth,2.0,0.8711267605633802,0.8061094965515038
Wine,BandWidth,3.0,0.945774647887324,0.9183852103640252
Wine,BandWidth,5.0,0.954225352112676,0.9315151428763944
Wine,BandWidth,10.0,0.9443661971830984,0.9173585630256837
Wine,BandWidth,15.0,0.9302816901408452,0.8970095088925125
Wine,ChiMerge,2.0,0.973943661971831,0.9604599897729752
Wine,ChiMerge,3.0,0.9732394366197183,0.9595175313698163
Wine,ChiMerge,5.0,0.954225352112676,0.9312205898039269
Wine,ChiMerge,10.0,0.930281690140845,0.8978164943272502
Wine,ChiMerge,15.0,0.9105633802816901,0.8716292548523764
Wine,CAIM,,0.9852112676056338,0.9776905849126166
Diabetes,BandWidth,2.0,0.26373937677053827,0.16186137236481155
Diabetes,BandWidth,3.0,0.30453257790368277,0.2051640008818044
Diabetes,BandWidth,5.0,0.33626062322946176,0.24783533710607658
Diabetes,BandWidth,10.0,0.4456090651558074,0.3723950881752785
Diabetes,BandWidth,15.0,0.5291784702549576,0.4666713647071427
Diabetes,ChiMerge,2.0,0.2858356940509915,0.19203220762690518
Diabetes,ChiMerge,3.0,0.34532577903682715,0.25958392905380284
Diabetes,ChiMerge,5.0,0.4240793201133145,0.3477007019405078
Diabetes,ChiMerge,10.0,0.5733711048158641,0.5159708351934762
Diabetes,ChiMerge,15.0,0.6745042492917847,0.6304529589296488
Diabetes,CAIM,,0.18866855524079318,0.030487281448865255
