Dataset,Modelo,Accuracy,MCC,Rep
Iris,SKLearn-GNB,0.9416666666666667,0.9125039553891873,1
Iris,SKLearn-GNB,0.95,0.9251058981552087,2
Iris,SKLearn-GNB,0.9583333333333334,0.938405465357665,3
Iris,SKLearn-GNB,0.95,0.924953095684803,4
Iris,SKLearn-GNB,0.95,0.924953095684803,5
Iris,SKLearn-GNB,0.9666666666666667,0.9499687304565353,6
Iris,SKLearn-GNB,0.95,0.9248904652618402,7
Iris,SKLearn-GNB,0.9666666666666667,0.9499687304565353,8
Iris,SKLearn-GNB,0.9583333333333334,0.9375196852387766,9
Iris,SKLearn-GNB,0.9666666666666667,0.9499582985821518,10
Wine,SKLearn-GNB,0.9788732394366197,0.9681261236747378,1
Wine,SKLearn-GNB,0.9929577464788732,0.9893806053178497,2
Wine,SKLearn-GNB,0.9859154929577465,0.9784973034803154,3
Wine,SKLearn-GNB,0.9788732394366197,0.9680836931169262,4
Wine,SKLearn-GNB,0.9859154929577465,0.9786339179657871,5
Wine,SKLearn-GNB,0.9859154929577465,0.9788869975030217,6
Wine,SKLearn-GNB,0.9859154929577465,0.9787857881757491,7
Wine,SKLearn-GNB,0.9859154929577465,0.978611064584845,8
Wine,SKLearn-GNB,0.9859154929577465,0.9785427953160406,9
Wine,SKLearn-GNB,0.9859154929577465,0.9785931416358876,10
Diabetes,SKLearn-GNB,0.46458923512747874,0.4683381184880012,1
Diabetes,SKLearn-GNB,0.48725212464589235,0.49037043503165306,2
Diabetes,SKLearn-GNB,0.45325779036827196,0.45778928453569306,3
Diabetes,SKLearn-GNB,0.45609065155807366,0.46053809484970953,4
Diabetes,SKLearn-GNB,0.45609065155807366,0.4599016399816587,5
Diabetes,SKLearn-GNB,0.43626062322946174,0.43874874049749013,6
Diabetes,SKLearn-GNB,0.45042492917847027,0.45185321287830404,7
Diabetes,SKLearn-GNB,0.4475920679886686,0.4512182159970398,8
Diabetes,SKLearn-GNB,0.46175637393767704,0.46606975625036556,9
Diabetes,SKLearn-GNB,0.47875354107648727,0.48272698904342776,10
Iris,Gaussiano,0.9416666666666668,0.9125039553891872,1
Iris,Gaussiano,0.95,0.9251058981552088,2
Iris,Gaussiano,0.9583333333333334,0.938405465357665,3
Iris,Gaussiano,0.95,0.924953095684803,4
Iris,Gaussiano,0.95,0.924953095684803,5
Iris,Gaussiano,0.9666666666666668,0.9499687304565352,6
Iris,Gaussiano,0.95,0.9248904652618402,7
Iris,Gaussiano,0.9666666666666668,0.9499687304565352,8
Iris,Gaussiano,0.9583333333333334,0.9375196852387766,9
Iris,Gaussiano,0.9666666666666668,0.9499582985821518,10
Iris,KDE,0.9583333333333334,0.9375326353084336,1
Iris,KDE,0.95,0.9251058981552088,2
Iris,KDE,0.9666666666666668,0.9503960809010948,3
Iris,KDE,0.9583333333333334,0.9375391847859617,4
Iris,KDE,0.9666666666666668,0.9499687304565352,5
Iris,KDE,0.9583333333333334,0.9375391847859617,6
Iris,KDE,0.95,0.9248904652618402,7
Iris,KDE,0.975,0.9625885994813346,8
Iris,KDE,0.95,0.9249374478732276,9
Iris,KDE,0.9666666666666668,0.9499582985821518,10
Wine,Gaussiano,0.9788732394366196,0.9681261236747378,1
Wine,Gaussiano,0.9929577464788732,0.9893806053178495,2
Wine,Gaussiano,0.9859154929577464,0.9784973034803154,3
Wine,Gaussiano,0.9788732394366196,0.9680836931169262,4
Wine,Gaussiano,0.9859154929577464,0.9786339179657872,5
Wine,Gaussiano,0.9859154929577464,0.9788869975030215,6
Wine,Gaussiano,0.9859154929577464,0.9787857881757492,7
Wine,Gaussiano,0.9859154929577464,0.978611064584845,8
Wine,Gaussiano,0.9859154929577464,0.9785427953160406,9
Wine,Gaussiano,0.9859154929577464,0.9785931416358876,10
Wine,KDE,0.9859154929577464,0.9789660148949086,1
Wine,KDE,0.9929577464788732,0.9893806053178495,2
Wine,KDE,0.9859154929577464,0.9784973034803154,3
Wine,KDE,0.9859154929577464,0.9786189292741242,4
Wine,KDE,0.9929577464788732,0.9893603106701876,5
Wine,KDE,0.9929577464788732,0.9894824975299066,6
Wine,KDE,1.0,1.0,7
Wine,KDE,0.9929577464788732,0.9893531900516206,8
Wine,KDE,0.9929577464788732,0.9893234774670118,9
Wine,KDE,0.9929577464788732,0.989346754692399,10
Diabetes,Gaussiano,0.0028328611898017,0.0,1
Diabetes,Gaussiano,0.0028328611898017,0.0,2
Diabetes,Gaussiano,0.0028328611898017,0.0,3
Diabetes,Gaussiano,0.0028328611898017,0.0,4
Diabetes,Gaussiano,0.0028328611898017,0.0,5
Diabetes,Gaussiano,0.0028328611898017,0.0,6
Diabetes,Gaussiano,0.0028328611898017,0.0,7
Diabetes,Gaussiano,0.0028328611898017,0.0,8
Diabetes,Gaussiano,0.0,0.0,9
Diabetes,Gaussiano,0.0028328611898017,0.0,10
Diabetes,KDE,0.178470254957507,0.1787901488191651,1
Diabetes,KDE,0.2152974504249291,0.2157418469101223,2
Diabetes,KDE,0.2039660056657223,0.2056765868009882,3
Diabetes,KDE,0.1841359773371104,0.1857989351324344,4
Diabetes,KDE,0.1898016997167138,0.1907602006728817,5
Diabetes,KDE,0.1728045325779036,0.1729440784584739,6
Diabetes,KDE,0.1926345609065155,0.1911496059930648,7
Diabetes,KDE,0.1926345609065155,0.1934120169062705,8
Diabetes,KDE,0.1869688385269121,0.1880167057680084,9
Diabetes,KDE,0.1954674220963173,0.1958091391222482,10
