Dataset,Discretizador,Hiperparámetro,Accuracy,MCC
Iris,BandWidth,2.0,0.7616666666666667,0.6587570598456818
Iris,BandWidth,3.0,0.9550000000000001,0.9329703995111347
Iris,BandWidth,5.0,0.9333333333333332,0.9003282792464485
Iris,BandWidth,10.0,0.9508333333333333,0.9264687280622816
Iris,BandWidth,15.0,0.95,0.9252193627258715
Iris,ChiMerge,2.0,0.8975,0.8508150865928699
Iris,ChiMerge,3.0,0.9266666666666667,0.8906586988268442
Iris,ChiMerge,5.0,0.9350000000000002,0.9030588041450311
Iris,ChiMerge,10.0,0.9441666666666666,0.9168262784391927
Iris,ChiMerge,15.0,0.9524999999999999,0.9292721925256802
Iris,CAIM,,0.9541666666666666,0.9319360391755375
Wine,BandWidth,2.0,0.890845070422535,0.8347852666374364
Wine,BandWidth,3.0,0.9507042253521126,0.9264419531084833
Wine,BandWidth,5.0,0.9816901408450706,0.972328099487104
Wine,BandWidth,10.0,0.9859154929577464,0.9788155063864771
Wine,BandWidth,15.0,0.9845070422535211,0.9767488313961425
Wine,ChiMerge,2.0,0.9795774647887324,0.969311361008858
Wine,ChiMerge,3.0,0.9838028169014086,0.9755754285421988
Wine,ChiMerge,5.0,0.987323943661972,0.9808959442333203
Wine,ChiMerge,10.0,0.9880281690140846,0.9819885429034866
Wine,ChiMerge,15.0,0.9894366197183098,0.9840580487622412
Wine,CAIM,,0.9809859154929577,0.9715788983816195
Diabetes,BandWidth,2.0,0.26770538243626063,0.16375368888000694
Diabetes,BandWidth,3.0,0.3135977337110481,0.21244418978995677
Diabetes,BandWidth,5.0,0.3297450424929179,0.2348374550963245
Diabetes,BandWidth,10.0,0.4286118980169972,0.34817158734377796
Diabetes,BandWidth,15.0,0.4864022662889519,0.41422813580633155
Diabetes,ChiMerge,2.0,0.2977337110481586,0.2005989680866475
Diabetes,ChiMerge,3.0,0.341643059490085,0.2522180495529951
Diabetes,ChiMerge,5.0,0.4172804532577904,0.337467379331337
Diabetes,ChiMerge,10.0,0.5407932011331444,0.4779992441167833
Diabetes,ChiMerge,15.0,0.6220963172804532,0.5706384117495713
Diabetes,CAIM,,0.18866855524079318,0.030487281448865255
