Dataset,Accuracy,MCC,Rep
Adult,0.8344848764010441,0.5123836849245229,1
Adult,0.826654383540611,0.49732742742287983,2
Adult,0.8337171810225702,0.5036474083269273,3
Adult,0.8406264394288346,0.530419102713372,4
Adult,0.8269614616920006,0.4935412198341602,5
Adult,0.8291110087517273,0.49592277153202413,6
Adult,0.8321817902656226,0.5036288606049413,7
Adult,0.8331030247197911,0.5023179775380366,8
Adult,0.8366344234607708,0.5104120262946495,9
Adult,0.8271150007676954,0.5029805067081615,10
Titanic,0.7752808988764045,0.5369922264235295,1
Titanic,0.8202247191011236,0.5599488482782233,2
Titanic,0.7359550561797753,0.3612798720134599,3
Titanic,0.7808988764044944,0.4942477527633579,4
Titanic,0.7921348314606742,0.5807987640028794,5
Titanic,0.7584269662921348,0.42149730808199093,6
Titanic,0.702247191011236,0.37393097012091336,7
Titanic,0.7303370786516854,0.4127176899331624,8
Titanic,0.7752808988764045,0.5077059316219079,9
Titanic,0.7865168539325843,0.5640288955193393,10
Credit Approval,0.7251908396946565,0.4814183322279498,1
Credit Approval,0.7633587786259542,0.5301071400710029,2
Credit Approval,0.732824427480916,0.4678655637446012,3
Credit Approval,0.7480916030534351,0.5150588011247123,4
Credit Approval,0.732824427480916,0.49702818899130774,5
Credit Approval,0.8091603053435115,0.6176128589599883,6
Credit Approval,0.8015267175572519,0.6084884053748637,7
Credit Approval,0.732824427480916,0.4665291046024769,8
Credit Approval,0.6564885496183206,0.35458805912089403,9
Credit Approval,0.7557251908396947,0.5189453885959653,10
